id;hosts;company
1229935;Google AdMob;AdMob
1229935;Google Firebase Analytics;Firebase
1229935;Google Play Services;Google
186442;Facebook;Facebook
186442;Flurry;Flurry
186442;Google AdMob;AdMob
186442;Google Play Services;Google
186442;Inmobi;InMobi
948555;Google Firebase Analytics;Firebase
948555;Google Play Services;Google
670056;Google Play Services;Google
632829;Google CrashLytics;Crashlytics
632829;Google Firebase Analytics;Firebase
632829;Google Play Services;Google
1077152;Google Play Services;Google
880425;Google AdMob;AdMob
880425;Google Firebase Analytics;Firebase
880425;Google Play Services;Google
708024;Amazon Advertisement;Amazon Advertising
708024;Facebook;Facebook
708024;Google AdMob;AdMob
708024;Google Play Services;Google
38824;Flurry;Flurry
20899;Flurry;Flurry
105790;Flurry;Flurry
792350;Google AdMob;AdMob
792350;Google Play Services;Google
399075;Google AdMob;AdMob
399075;Google Firebase Analytics;Firebase
399075;Google Play Services;Google
630285;Google AdMob;AdMob
630285;Google Firebase Analytics;Firebase
630285;Google Play Services;Google
1439902;Google AdMob;AdMob
1439902;Google Analytics;Google Analytics
1439902;Google Firebase Analytics;Firebase
1439902;Google Play Services;Google
49963;AdColony;AdColony
49963;AppLovin (MAX and SparkLabs);AppLovin
49963;Facebook;Facebook
49963;Google AdMob;AdMob
49963;Google Firebase Analytics;Firebase
49963;Google Play Services;Google
49963;Unity3d Ads;Unity Technologies
686817;Google CrashLytics;Crashlytics
686817;Google Firebase Analytics;Firebase
686817;Google Play Services;Google
806191;Google Firebase Analytics;Firebase
806191;Google Play Services;Google
738551;Google AdMob;AdMob
738551;Google Firebase Analytics;Firebase
738551;Google Play Services;Google
409906;Facebook;Facebook
409906;Google CrashLytics;Crashlytics
409906;Google Firebase Analytics;Firebase
409906;Google Play Services;Google
409906;HockeyApp;Bit Stadium
574311;Google Analytics;Google Analytics
574311;Google CrashLytics;Crashlytics
574311;Google Firebase Analytics;Firebase
574311;Google Play Services;Google
574311;Google Tag Manager;Google Tag Manager
812622;Google AdMob;AdMob
812622;Google Play Services;Google
18246;Google AdMob;AdMob
18246;Google Play Services;Google
149181;Facebook;Facebook
149181;Google AdMob;AdMob
149181;Google Play Services;Google
273281;Facebook;Facebook
273281;Google Analytics;Google Analytics
273281;Google CrashLytics;Crashlytics
273281;Google Play Services;Google
273281;Google Tag Manager;Google Tag Manager
48983;Amazon Advertisement;Amazon Advertising
48983;Facebook;Facebook
48983;Google AdMob;AdMob
48983;Google Analytics;Google Analytics
48983;Google Play Services;Google
48983;Twitter MoPub;MoPub
72674;Google AdMob;AdMob
72674;Google CrashLytics;Crashlytics
72674;Google Firebase Analytics;Firebase
72674;Google Play Services;Google
889200;Google AdMob;AdMob
889200;Google Firebase Analytics;Firebase
889200;Google Play Services;Google
